Id,Word,Schwab,PNC
32,lenders,911,6309
35,innovation,22,3533
18,regulatory,798,3316
83,cloud-based,303,2817
37,partnerships,178,2735
34,experience,611,2613
50,servicing,233,1712
33,development,1721,1634
80,cryptocurrencies,0,1215
73,intelligence,4,1025
23,equity,74,687
44,security,13,572
17,technology,227,496
28,ecosystem,28,493
41,investments,78,358
7,bank,230,318
76,cognitive,12,299
15,lending,20,296
13,capital,1039,280
27,credit,9,245
20,intermediaries,85,213
16,transactions,589,206
47,commercial,198,204
43,government,213,199
8,products,5,193
1,financial,640,139
49,connectivity,20,124
67,distributors,10,93
12,risk,20,91
55,collateral,106,59
56,analytics,5,53
82,optimisation,8,52
22,global,49,48
3,digital,161,42
63,financing,5,41
4,customer,253,31
5,information,86,29
40,claims,10,23
25,trading,392,19
52,liability,8,15
39,merchants,1,11
65,blockchain,14,10
10, investments,7,10
48,analysis,0,10
45,liquidity,0,9
14,management,140,8
72,bitcoin,21,8
11,economic,696,2
2,services,145,2
24,infrastructure,46,2
60,currency,12,2
26,industry,10,2
38,technologies,0,2
31,crowdfunding,0,1
87,multinationals,0,1
36,legal,528,0
57,provisioning,177,0
29,firms,50,0
53,fraud,48,0
6,world,16,0
21,asset,15,0
46,marketplace,9,0
74,statistics,7,0
59,ecosystems,4,0
64,electronic,3,0
51,audit,2,0
54,quantitative,1,0
68,streamline,1,0
69,jurisdictions,1,0
70,incentives,1,0
98,customer-oriented,1,0
9,insurance,0,0
19,opportunities,0,0
30,investor,0,0
42,strategies,0,0
58,operational,0,0
61,statements,0,0
62,syndicate,0,0
66,algorithms,0,0
71,economics,0,0
75,cyber,0,0
77,metadata,0,0
78,sap,0,0
79,micropayments,0,0
81,internet-of-things,0,0
84,product,0,0
85,sales/distribution,0,0
86,automation focused,0,0
88,ecommerce,0,0
89,fintech,0,0
90,machine learning,0,0
91,blockchain related,0,0
92,fidelity,0,0
93,chainalysis,0,0
94,tokenisation,0,0
95,digitisation,0,0
96,crypto-currency,0,0
97,telecommunication,0,0
99,annuities,0,0
100,algorithm-driven,0,0
