Word, Score
pragmatic,0.30418
foreword,0.27645
prepared,0.26752
august,0.26752
collaboration,0.21629
series,0.21207
consistent,0.21207
assessment,0.19204
beyond,0.1864
disruptive,0.18435
services,0.1829
2017,0.18053
deloitte,0.15103
fintech,0.14613
financial,0.13335
with,0.11716
potential,0.11652
future,0.11251
world,0.09898
part,0.07465
the,0.02282
applying,0.26023
outreach,0.26023
numerous,0.25407
multistakeholder,0.24872
dialogue,0.24872
extensive,0.23599
organizations,0.21412
address,0.20648
issues,0.20007
involved,0.19454
mission,0.18053
creating,0.17463
approach,0.16312
incl,0.15373
individuals,0.15281
report,0.15236
impact,0.13845
global,0.1294
they,0.12119
this,0.11335
forum,0.11057
economic,0.10841
with,0.05858
and,0.03223
communities,0.26663
sessions,0.24771
professionals,0.24095
academia,0.24095
outreach,0.24095
150,0.22204
uded,0.21232
interviews,0.19636
workshop,0.19119
involved,0.18013
's,0.17259
international,0.17069
sector,0.16633
public,0.15506
innovation,0.11912
technology,0.11318
forum,0.10238
services,0.08468
over,0.07999
from,0.07782
financial,0.06174
and,0.04476
the,0.03169
concerning,0.30418
encouraging,0.26023
collaborative,0.26023
holistic,0.25407
enric,0.25407
dialogue,0.24872
insights,0.21207
perspective,0.21207
discuss,0.19585
disruption,0.18435
report,0.15236
fintech,0.14613
within,0.1354
opportunities,0.13424
industry,0.13339
would,0.13148
global,0.1294
this,0.11335
not,0.10244
services,0.09145
financial,0.06667
and,0.03223
the,0.02282
assisted,0.26222
thoughts,0.26222
contributions,0.23062
thank,0.20672
steerin,0.19768
forward,0.18645
subject,0.16661
matter,0.16661
driving,0.15807
experts,0.1541
particular,0.14922
about,0.14552
without,0.14326
project,0.12597
hed,0.12132
who,0.11935
support,0.11749
industry,0.11499
this,0.09771
future,0.09699
our,0.08563
services,0.07884
from,0.07245
financial,0.05748
the,0.03934
and,0.01389
mentorship,0.27159
played,0.23886
invaluable,0.23886
patient,0.22684
introduced,0.20759
committee,0.20474
ongoing,0.18935
expertise,0.18284
acknowledgements,0.17998
working,0.17863
institutional,0.16039
section,0.15663
been,0.14726
group,0.13296
also,0.13259
critical,0.12879
which,0.12419
role,0.12419
support,0.12169
has,0.09788
their,0.06758
with,0.0523
and,0.02878
the,0.02037
fo,0.0198
g,0.00162
inspirational,0.2453
finally,0.2453
industrial,0.21575
revolution,0.21575
grateful,0.21575
whose,0.20986
fourth,0.20986
chairman,0.1875
this,0.18282
initiative,0.18253
consulting,0.17268
leadership,0.17103
united,0.16383
llp,0.16256
vision,0.13959
been,0.13301
deloitte,0.1218
forum,0.08917
has,0.08841
work,0.08499
our,0.08011
from,0.06778
are,0.04483
the,0.0368
and,0.013
st,0.00525
r,7e-05
deloitte1,0.22294
generous,0.22294
official,0.19665
feedback,0.19665
commitment,0.19375
adviser,0.18417
contact,0.18417
jesse,0.18214
capacity,0.17355
its,0.16341
professional,0.16212
questions,0.14241
project,0.12177
support,0.11357
within,0.11283
network,0.11001
this,0.09446
forum,0.09214
ates,0.084
entity,0.07637
services,0.07621
for,0.06422
the,0.02852
and,0.01343
m,0.00042
deloitte,0.45309
limited,0.31324
rgalaski,0.26023
deloitte.ca,0.26023
tohmatsu,0.26023
refers,0.25407
jesse.mcwaters,0.24401
touche,0.23251
weforum.org,0.2293
galaski,0.22358
cwaters,0.221
guarantee,0.221
company,0.17705
author,0.17623
private,0.15815
rob,0.14107
lead,0.1216
forum,0.11057
economic,0.10841
one,0.10055
world,0.09898
more,0.09204
dttl,0.58016
member,0.28557
entities,0.22754
firms,0.22645
referred,0.20058
legally,0.19678
separate,0.19339
independent,0.17268
related,0.16135
its,0.15814
clients,0.14709
does,0.14559
deloitte,0.1218
also,0.11976
each,0.10895
network,0.10646
global,0.10435
not,0.08261
services,0.07375
provide,0.06778
their,0.06104
are,0.04483
and,0.03899
please,0.44097
detailed,0.41594
description,0.35646
see,0.28028
www.deloitte.com/us/about,0.26582
www.deloitte.com/about,0.25723
subsidia,0.25723
dttl,0.23058
llp,0.19382
its,0.18855
member,0.17024
legal,0.14965
deloitte,0.14522
firms,0.135
structure,0.11574
more,0.0885
for,0.0494
and,0.03099
the,0.01097
publication,0.40418
render,0.24683
contains,0.23886
accounting,0.20759
this,0.20241
attest,0.19732
general,0.19311
not,0.18293
rules,0.18284
means,0.17147
available,0.1646
clients,0.16285
regulations,0.15884
only,0.15071
public,0.14952
deloitte,0.13485
under,0.10197
may,0.10181
ries,0.09943
information,0.0924
certain,0.09146
services,0.08165
and,0.02878
the,0.01019
professional,0.3474
advice,0.31921
substitute,0.24683
accounting,0.20759
publication,0.20209
nor,0.18284
basis,0.17863
tax,0.1655
services,0.16331
should,0.15071
decision,0.15011
legal,0.13896
used,0.13563
such,0.12566
other,0.11168
any,0.10339
business,0.10166
this,0.1012
investment,0.09434
not,0.09146
financial,0.05953
act,0.04803
for,0.04587
ing,0.01104
affect,0.34205
your,0.3389
any,0.28015
shall,0.20986
qualified,0.20058
before,0.18492
may,0.18392
business,0.18365
adviser,0.17822
responsible,0.17268
taking,0.16945
consult,0.16017
professional,0.15689
you,0.14867
should,0.13613
decision,0.13559
making,0.13251
that,0.1247
loss,0.12323
deloitte,0.1218
not,0.08261
action,0.07779
for,0.02071
ion,0.00701
sustained,0.24771
relies,0.2303
steering,0.21528
thought,0.21528
committee,0.21232
publication,0.20957
oversight,0.20463
guidance,0.19636
leadership,0.19636
senior,0.19119
members,0.1881
provided,0.17896
leaders,0.17671
following,0.15159
person,0.12879
who,0.12819
global,0.11981
any,0.10722
this,0.10495
institutions,0.08213
from,0.07782
financial,0.06174
fu,0.06144
the,0.03169
and,0.01492
president,0.425
cairns,0.26582
craig,0.25022
steering,0.22356
committee,0.22048
robert,0.21763
david,0.21498
mastercard,0.2125
series,0.20392
financial,0.19233
contri,0.18584
international,0.17726
services,0.17587
leader,0.16945
deloitte,0.14522
markets,0.13343
global,0.12442
ann,0.11962
its,0.09427
ture,0.07394
ri,0.01736
and,0.01549
chief,0.53013
officer,0.37329
kimberly,0.28164
catlin,0.28164
hammonds,0.26663
flint,0.24771
jason,0.24095
harris,0.2303
casualty,0.21851
property,0.20463
deutsche,0.20238
michael,0.20027
thomson,0.19826
reuters,0.19283
john,0.19283
operating,0.18135
international,0.17069
executive,0.16394
global,0.11981
information,0.09582
sk,0.0813
bank,0.07416
and,0.02984
group,0.38512
chief,0.32905
executive,0.30527
lehmann,0.24824
anju,0.24824
axel,0.23832
patwardhan,0.23832
harte,0.21036
barclays,0.19512
hsbc,0.19274
senior,0.178
officer,0.17377
board,0.17247
operating,0.16884
member,0.15263
head,0.14671
ubs,0.14165
retail,0.1263
wealth,0.12311
banking,0.12221
