,Bank Name,Job Title,URL (URL of the job posting),cluster1_tech_words.csv,cluster2_fintech_words.csv
0,﻿Citizen,Small Business Relationship Banker,https://jobs.citizensbank.com/job/medford/small-business-relationship-banker/288/10921354,0,0
0,Citizen,Digital Banking Relationship Manager,https://jobs.citizensbank.com/job/johnston/digital-banking-relationship-manager/288/10921356,0,10
0,Citizen,Customer Service Teller,https://jobs.citizensbank.com/job/boston/customer-service-teller/288/10921357,0,0
0,Citizen,InStore Personal Banker,https://jobs.citizensbank.com/job/niagara-falls/instore-personal-banker/288/10921353,0,0
0,Citizen,Associate Licensed Relationship Banker,https://jobs.citizensbank.com/job/toledo/associate-licensed-relationship-banker/288/10921350,0,0
0,Citizen,Associate Licensed Relationship Banker,https://jobs.citizensbank.com/job/temple/associate-licensed-relationship-banker/288/10921351,0,0
0,Citizen,Associate Licensed Relationship Banker,https://jobs.citizensbank.com/job/toledo/associate-licensed-relationship-banker/288/10921355,0,0
0,Citizen,Relationship Banker,https://jobs.citizensbank.com/job/wilmington/relationship-banker/288/10921358,0,0
0,Citizen,Personal Banker Universal,https://jobs.citizensbank.com/job/philadelphia/personal-banker-universal/288/10921352,0,0
0,Citizen,Personal Banker,https://jobs.citizensbank.com/job/unadilla/personal-banker/288/10921363,0,0
0,Citizen,InStore Personal Banker,https://jobs.citizensbank.com/job/hyde-park/instore-personal-banker/288/10921359,0,0
0,Citizen,Assistant Branch Manager,https://jobs.citizensbank.com/job/warren/assistant-branch-manager/288/10921360,0,0
0,Citizen,Customer Service Teller,https://jobs.citizensbank.com/job/dorchester/customer-service-teller/288/10921361,0,0
0,Citizen,Data Scientist Intern,https://jobs.citizensbank.com/job/columbus/data-scientist-intern/288/10921364,10,0
0,Citizen,InStore Personal Banker,https://jobs.citizensbank.com/job/hyde-park/instore-personal-banker/288/10921365,0,0
0,Citizen,InStore Personal Banker,https://jobs.citizensbank.com/job/hyde-park/instore-personal-banker/288/10921362,0,0
0,Citizen,Associate Licensed Relationship Banker,https://jobs.citizensbank.com/job/brookline/associate-licensed-relationship-banker/288/10918711,0,0
0,Citizen,Associate II Corporate Finance - Strategic Client Acquisition,https://jobs.citizensbank.com/job/boston/associate-ii-corporate-finance-strategic-client-acquisition/288/10918718,0,0
0,Citizen,Senior Customer Service Teller,https://jobs.citizensbank.com/job/mentor-on-the-lake/senior-customer-service-teller/288/10918721,0,0
0,Citizen,Personal Banker,https://jobs.citizensbank.com/job/buffalo/personal-banker/288/10918712,0,0
0,Citizen,Senior Customer Service Teller,https://jobs.citizensbank.com/job/lakewood/senior-customer-service-teller/288/10918719,0,0
0,Citizen,Personal Banker,https://jobs.citizensbank.com/job/cheektowaga/personal-banker/288/10918713,0,0
0,Citizen,Customer Service Teller,https://jobs.citizensbank.com/job/woodstock/customer-service-teller/288/10918717,0,0
0,Citizen,Small Business Relationship Banker,https://jobs.citizensbank.com/job/whitesboro/small-business-relationship-banker/288/10918714,0,0
0,Citizen,Relationship Banker,https://jobs.citizensbank.com/job/stow/relationship-banker/288/10918715,0,0
0,Citizen,Collection Recovery Lead,https://jobs.citizensbank.com/job/johnston/collection-recovery-lead/288/10918716,0,0
0,Citizen,Personal Banker,https://jobs.citizensbank.com/job/rochester/personal-banker/288/10918720,0,0
0,Citizen,Branch Manager Tier 3,https://jobs.citizensbank.com/job/north-kingstown/branch-manager-tier-3/288/10918722,0,0
0,Citizen,Analyst II Corporate Finance - Strategic Client Acquisition,https://jobs.citizensbank.com/job/boston/analyst-ii-corporate-finance-strategic-client-acquisition/288/10918723,0,0
0,Citizen,Senior Business Support Manager,https://jobs.citizensbank.com/job/riverside/senior-business-support-manager/288/10918724,0,0
0,Citizen,Senior Customer Service Teller,https://jobs.citizensbank.com/job/euclid/senior-customer-service-teller/288/10918725,0,0
0,Citizen,Customer Service Teller,https://jobs.citizensbank.com/job/boston/customer-service-teller/288/10918726,0,0
0,Citizen,Relationship Banker,https://jobs.citizensbank.com/job/boston/relationship-banker/288/10916119,0,0
0,Citizen,Relationship Banker,https://jobs.citizensbank.com/job/toledo/relationship-banker/288/10916120,0,0
0,Citizen,InStore Personal Banker,https://jobs.citizensbank.com/job/cheektowaga/instore-personal-banker/288/10547355,0,0
0,Citizen,Customer Service Teller,https://jobs.citizensbank.com/job/hamburg/customer-service-teller/288/10547358,0,0
0,Citizen,Customer Service Teller,https://jobs.citizensbank.com/job/endicott/customer-service-teller/288/10547359,0,0
0,Citizen,Customer Service Teller,https://jobs.citizensbank.com/job/depew/customer-service-teller/288/10544066,0,0
0,Citizen,InStore Personal Banker,https://jobs.citizensbank.com/job/east-amherst/instore-personal-banker/288/10544063,0,0
0,Citizen,InStore Personal Banker,https://jobs.citizensbank.com/job/west-seneca/instore-personal-banker/288/10544060,0,0
0,Citizen,Analysis and Reporting Specialist,https://jobs.citizensbank.com/job/pittsburgh/analysis-and-reporting-specialist/288/10913127,0,0
0,Citizen,Analyst II Capital Markets,https://jobs.citizensbank.com/job/boston/analyst-ii-capital-markets/288/10905889,0,0
0,Citizen,Small Business Relationship Banker,https://jobs.citizensbank.com/job/glen-mills/small-business-relationship-banker/288/10905890,0,0
0,Citizen,Personal Banker,https://jobs.citizensbank.com/job/okemos/personal-banker/288/10905893,0,0
0,Citizen,Sr Customer Service Teller,https://jobs.citizensbank.com/job/parma-heights/sr-customer-service-teller/288/10905891,0,0
0,Citizen,Commercial Priority Services Specialist I,https://jobs.citizensbank.com/job/riverside/commercial-priority-services-specialist-i/288/10905892,0,0
0,Citizen,Commercial Priority Services Specialist I,https://jobs.citizensbank.com/job/riverside/commercial-priority-services-specialist-i/288/10905897,0,0
0,Citizen,Consumer Accounting Senior Specialist,https://jobs.citizensbank.com/job/glen-allen/consumer-accounting-senior-specialist/288/10905894,0,0
0,Citizen,Business Capital -  Credit Analyst I,https://jobs.citizensbank.com/job/boston/business-capital-credit-analyst-i/288/10905895,0,0
0,Citizen,Customer Service Teller,https://jobs.citizensbank.com/job/chesaning/customer-service-teller/288/10905896,0,0
